strain,date,state,county,country
1000-X70047,3/15/2020,WA,Pierce,USA
10028-F21970,5/29/2020,WA,King,USA
10029-F21926,5/29/2020,WA,King,USA
10031-F21931,5/29/2020,WA,King,USA
10036-F21965,5/29/2020,WA,King,USA
10039-F21925,5/29/2020,WA,King,USA
10040-F21927,5/29/2020,WA,King,USA
10042-F22003,5/29/2020,WA,King,USA
1005-X69709,3/14/2020,WA,King,USA
10088-F21994,5/29/2020,WA,King,USA
10089-F22005,5/29/2020,WA,King,USA
10090-F21907,5/29/2020,WA,King,USA
10091-F22002,5/29/2020,WA,King,USA
10093-F21936,5/29/2020,WA,King,USA
10094-F22013,5/29/2020,WA,King,USA
10102-F22012,5/29/2020,WA,King,USA
10106-F21905,5/29/2020,WA,King,USA
10107-F21935,5/29/2020,WA,King,USA
10108-F21932,5/29/2020,WA,King,USA
1011-X69274,3/14/2020,WA,King,USA
10110-F21960,5/29/2020,WA,King,USA
10114-F21989,5/29/2020,WA,King,USA
10117-F22023,5/29/2020,WA,King,USA
10118-F22011,5/29/2020,WA,King,USA
10127-F21910,5/29/2020,WA,King,USA
10128-F21950,5/29/2020,WA,King,USA
10129-F21995,5/29/2020,WA,King,USA
1013-X70162,3/15/2020,WA,Pierce,USA
10130-F21982,5/29/2020,WA,King,USA
10131-F21991,5/29/2020,WA,King,USA
10136-S81294,5/30/2020,WA,King,USA
10138-F22026,5/29/2020,WA,King,USA
10158-T20271,6/1/2020,WA,Pierce,USA
10159-T21284,6/2/2020,WA,King,USA
10161-T29399,6/2/2020,WA,King,USA
10163-M10823,6/1/2020,WA,Pierce,USA
10174-M92775,6/1/2020,WA,Chelan,USA
1018-M58579,3/16/2020,WA,King,USA
10185-M94804,6/1/2020,WA,King,USA
10187-M89458,6/1/2020,WA,King,USA
10189-T19943,6/1/2020,WA,Yakima,USA
10190-X49561,5/31/2020,WA,Pierce,USA
10191-M86762,6/1/2020,WA,King,USA
10197-M93397,6/1/2020,WA,King,USA
10199-M83693,6/1/2020,WA,King,USA
1020-M62499,3/16/2020,WA,King,USA
10206-X49555,5/31/2020,WA,Pierce,USA
1021-M62392,3/16/2020,WA,King,USA
10212-X49570,5/31/2020,WA,Pierce,USA
10213-X49594,5/31/2020,WA,Pierce,USA
10216-X49563,5/31/2020,WA,Pierce,USA
10217-S85431,5/30/2020,WA,Pierce,USA
10230-S85415,5/30/2020,WA,Pierce,USA
10231-S85411,5/30/2020,WA,Pierce,USA
1024-X70064,3/15/2020,WA,King,USA
10247-M10889,6/1/2020,WA,Pierce,USA
1025-F78935,3/13/2020,WA,King,USA
10250-M10916,6/1/2020,WA,Pierce,USA
10272-W84658,6/3/2020,WA,Pierce,USA
10277-T31182,6/2/2020,WA,Pierce,USA
10283-W81216,6/3/2020,WA,King,USA
10284-W81292,6/3/2020,WA,King,USA
10286-W81289,6/3/2020,WA,King,USA
10298-W81188,6/3/2020,WA,King,USA
10305-W87583,6/3/2020,WA,King,USA
10306-W81308,6/3/2020,WA,King,USA
1031-M62823,3/13/2020,MN,Olmsted,USA
